task_id,read,update,scan,insert,memcached_m,memcached_n,memcached_f,memcached_c,memcached_t,memcached_R,memcached_b,memcached_resource,memcached_replicas,memcached_accepting_connections,memcached_connections_listener_disabled_total,memcached_connections_rejected_total,memcached_connections_total,memcached_connections_yielded_total,memcached_current_connections,memcached_current_items,memcached_items_evicted_total,memcached_items_reclaimed_total,memcached_items_total,memcached_lru_crawler_enabled,memcached_lru_crawler_hot_max_factor,memcached_lru_crawler_hot_percent,memcached_lru_crawler_items_checked_total,memcached_lru_crawler_maintainer_thread,memcached_lru_crawler_moves_to_cold_total,memcached_lru_crawler_moves_to_warm_total,memcached_lru_crawler_moves_within_lru_total,memcached_lru_crawler_reclaimed_total,memcached_lru_crawler_sleep,memcached_lru_crawler_starts_total,memcached_lru_crawler_to_crawl,memcached_lru_crawler_warm_max_factor,memcached_lru_crawler_warm_percent,memcached_max_connections,memcached_process_system_cpu_seconds_total,memcached_process_user_cpu_seconds_total,memcached_slab_chunk_size_bytes,memcached_slab_chunks_free,memcached_slab_chunks_free_end,memcached_slab_chunks_per_page,memcached_slab_chunks_used,memcached_slab_cold_items,memcached_slab_current_chunks,memcached_slab_current_items,memcached_slab_current_pages,memcached_slab_hot_age_seconds,memcached_slab_hot_items,memcached_slab_items_age_seconds,memcached_slab_items_crawler_reclaimed_total,memcached_slab_items_evicted_nonzero_total,memcached_slab_items_evicted_time_seconds,memcached_slab_items_evicted_total,memcached_slab_items_evicted_unfetched_total,memcached_slab_items_expired_unfetched_total,memcached_slab_items_moves_to_cold,memcached_slab_items_moves_to_warm,memcached_slab_items_moves_within_lru,memcached_slab_items_outofmemory_total,memcached_slab_items_reclaimed_total,memcached_slab_items_tailrepairs_total,memcached_slab_lru_hits_total,memcached_slab_warm_age_seconds,memcached_slab_warm_items
13,305.0,107.0,0.0,114.0,314,67,1.15,535,32,57,2046,7,1,1.0,0.0,0.0,7.67,0.0,2.67,109694.0,0.0,0.0,109790.0,1.0,0.2,20.0,36564.67,1.0,109772.0,4.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,535.0,0.99,0.34,1304.0,542.0,0.0,804.0,109606.0,109605.0,110148.0,109606.0,137.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,109679.0,1.0,0.0,0.0,0.0,0.0,71.0,23.0,1.0
14,303.0,82.0,0.0,108.0,233,261,4.79,740,24,90,1573,11,1,1.0,0.0,0.0,8.0,0.0,4.0,109691.0,0.0,0.0,109783.0,1.0,0.2,20.0,36563.67,1.0,109766.0,4.0,1.0,0.0,100.0,1.33,0.0,2.0,40.0,740.0,0.98,0.36,312.0,3276.0,0.0,3360.0,84.0,84.0,3360.0,84.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
15,340.0,88.0,0.0,114.0,708,184,2.59,1098,10,49,1547,1,1,1.0,0.0,0.0,6.0,0.0,2.67,108061.67,0.0,0.0,108175.0,1.0,0.2,20.0,36568.67,1.0,101173.0,3.0,1.0,0.0,100.0,1.33,0.0,2.0,40.0,1098.0,1.11,0.4,232.0,4417.33,0.0,4519.0,101.67,95.33,4519.0,101.67,1.0,1.0,6.33,23.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2.0,1.0,0.0,0.0,0.0,3.67,0.0,0.0
16,295.0,91.0,0.0,107.0,352,621,2.4,1247,26,72,1633,30,1,1.0,0.0,0.0,6.0,0.0,2.33,109697.0,0.0,0.0,109805.0,1.0,0.2,20.0,36565.67,1.0,107995.0,3.0,6.0,0.0,100.0,1.33,0.0,2.0,40.0,1247.0,0.96,0.41,672.0,1463.0,0.0,1560.0,97.0,97.0,1560.0,97.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
17,315.0,77.0,0.0,106.0,421,459,3.77,655,28,43,1211,9,1,1.0,0.0,0.0,6.0,0.0,2.67,108048.67,0.0,0.0,108166.0,1.0,0.2,20.0,0.0,1.0,101142.0,5.0,5.0,0.0,100.0,1.0,0.0,2.0,40.0,655.0,0.93,0.37,512.0,1942.33,0.0,2048.0,105.67,99.0,2048.0,105.67,1.0,0.33,6.67,19.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0
18,310.0,95.0,0.0,112.0,674,495,3.91,698,10,42,1072,15,1,1.0,0.0,0.0,6.0,0.0,2.33,109723.0,0.0,0.0,109825.0,1.0,0.2,20.0,36574.33,1.0,109807.0,4.0,3.0,0.0,100.0,1.33,0.0,2.0,40.0,698.0,0.95,0.36,544.0,1837.0,0.0,1927.0,90.0,90.0,1927.0,90.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
19,313.0,100.0,0.0,114.0,408,670,5.68,1243,27,21,1300,10,1,1.0,0.0,0.0,9.0,0.0,3.0,104284.0,5389.0,0.0,109780.0,1.0,0.2,20.0,34761.33,1.0,109757.0,4.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,1243.0,1.02,0.41,720.0,1364.0,0.0,1456.0,92.0,92.0,1456.0,92.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
20,302.0,75.0,0.0,106.0,622,334,3.58,724,6,44,1256,17,1,1.0,0.0,0.0,11.33,0.0,2.33,109687.0,0.0,0.0,109789.0,1.0,0.2,20.0,109687.0,1.0,109768.0,4.0,2.0,0.0,100.0,2.0,0.0,2.0,40.0,724.0,0.93,0.37,384.0,2637.0,0.0,2730.0,93.0,93.0,2730.0,93.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
21,335.0,78.0,0.0,105.0,653,1011,3.61,900,5,96,1218,17,1,1.0,0.0,0.0,10.67,0.0,3.0,109718.0,0.0,0.0,109800.0,1.0,0.2,20.0,36572.67,1.0,109781.0,2.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,900.0,1.01,0.35,1064.0,910.0,0.0,985.0,75.0,74.0,985.0,75.0,1.0,0.0,0.0,27.67,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,0.0,4.0,19.67,1.0
22,349.0,82.0,0.0,113.0,430,345,4.77,698,13,41,1248,12,1,1.0,0.0,0.0,7.0,0.0,3.0,109709.0,0.0,0.0,109810.0,1.0,0.2,20.0,36569.67,1.0,109786.0,3.0,5.0,0.0,100.0,1.33,0.0,2.0,40.0,698.0,1.0,0.37,400.0,2529.0,0.0,2621.0,92.0,92.0,2621.0,92.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0
23,322.0,85.0,0.0,113.0,201,531,2.18,670,6,63,1160,7,1,1.0,0.0,0.0,10.0,0.0,3.33,109726.0,0.0,0.0,109818.0,1.0,0.2,20.0,73150.67,1.0,109806.0,3.0,1.0,0.0,100.0,1.67,0.0,2.0,40.0,670.0,0.95,0.5,584.0,1709.0,0.0,1795.0,86.0,86.0,1795.0,86.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
24,300.0,85.0,0.0,106.0,1019,333,3.31,1015,21,39,1036,13,1,1.0,0.0,0.0,10.33,0.0,2.33,109686.0,0.0,0.0,109796.0,1.0,0.2,20.0,36562.0,1.0,109772.0,2.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,1015.0,0.97,0.39,384.0,2637.0,0.0,2730.0,93.0,93.0,2730.0,93.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
25,314.0,93.0,0.0,113.0,627,440,9.93,809,12,44,1469,17,1,1.0,0.0,0.0,6.0,0.0,3.0,109703.0,0.0,0.0,109799.0,1.0,0.2,20.0,36567.67,1.0,109777.0,2.0,4.0,0.0,100.0,1.33,0.0,2.0,40.0,809.0,1.0,0.43,488.0,2057.0,0.0,2148.0,91.0,91.0,2148.0,91.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0
26,312.0,94.0,0.0,110.0,442,252,2.67,628,4,61,1329,10,1,1.0,0.0,0.0,6.0,0.0,2.33,109734.0,0.0,0.0,109837.0,1.0,0.2,20.0,36578.0,1.0,109815.0,2.0,1.0,0.0,100.0,1.33,0.0,2.0,40.0,628.0,0.92,0.43,304.0,3355.0,0.0,3449.0,94.0,94.0,3449.0,94.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
27,314.0,91.0,0.0,115.0,584,568,4.11,829,28,21,1185,4,1,1.0,0.0,0.0,6.0,0.0,2.67,109698.0,0.0,0.0,109792.0,1.0,0.2,20.0,36566.0,1.0,109772.0,3.0,4.0,0.0,100.0,1.33,0.0,2.0,40.0,829.0,0.97,0.39,616.0,1620.0,0.0,1702.0,82.0,81.0,1702.0,82.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,3.0,0.0,0.0,0.0,4.0,19.0,1.0
28,295.0,72.0,0.0,108.0,772,168,1.93,1117,8,51,1276,24,1,1.0,0.0,0.0,10.0,0.0,2.0,109695.0,0.0,0.0,109791.0,1.0,0.2,20.0,36565.0,1.0,109770.0,7.0,3.0,0.0,100.0,1.33,0.0,2.0,40.0,1117.0,0.91,0.4,216.0,4768.0,0.0,4854.0,86.0,86.0,4854.0,86.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,5.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0
29,321.0,87.0,0.0,108.0,786,159,2.85,1421,7,50,1285,17,1,1.0,0.0,0.0,7.0,0.0,2.67,109724.0,0.0,0.0,109819.0,1.0,0.2,20.0,36574.67,1.0,109792.0,3.0,1.0,0.0,100.0,1.33,0.0,2.0,40.0,1421.0,1.02,0.38,208.0,4977.0,0.0,5041.0,64.0,64.0,5041.0,64.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,335.0,89.0,0.0,110.0,803,143,3.5,1101,10,35,1101,25,1,1.0,0.0,0.0,10.33,0.0,2.33,109685.0,0.0,0.0,109794.0,1.0,0.2,20.0,36561.67,1.0,109766.0,2.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,1101.0,0.98,0.35,672.0,1465.0,0.0,1560.0,95.0,95.0,1560.0,95.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
31,311.0,110.0,0.0,114.0,883,376,4.57,996,3,50,1383,23,1,1.0,0.0,0.0,10.67,0.0,2.67,109700.0,0.0,0.0,109825.0,1.0,0.2,20.0,36566.67,1.0,109804.0,1.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,996.0,1.03,0.34,424.0,2363.0,0.0,2473.0,110.0,110.0,2473.0,110.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
32,318.0,86.0,0.0,109.0,727,274,1.9,592,16,35,1466,27,1,1.0,0.0,0.0,8.0,0.0,3.0,109674.0,0.0,0.0,109797.0,1.0,0.2,20.0,36558.0,1.0,109771.0,4.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,592.0,0.98,0.42,328.0,3082.0,0.0,3196.0,114.0,113.0,3196.0,114.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,2.0,2.0,0.0,0.0,0.0,5.0,17.0,1.0
33,325.0,89.0,0.0,113.0,610,283,1.74,784,8,28,1264,30,1,1.0,0.0,0.0,8.0,0.0,2.67,109678.0,0.0,0.0,109793.0,1.0,0.2,20.0,36559.33,1.0,109770.0,5.0,1.0,0.0,100.0,1.33,0.0,2.0,40.0,784.0,1.05,0.35,336.0,3023.0,0.0,3120.0,97.0,97.0,3120.0,97.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
34,302.0,98.0,0.0,115.0,465,206,3.03,889,12,63,1991,23,1,1.0,0.0,0.0,9.67,0.0,2.67,109709.0,0.0,0.0,109818.0,1.0,0.2,20.0,36569.67,1.0,109794.0,4.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,889.0,0.94,0.36,256.0,3999.0,0.0,4096.0,97.0,97.0,4096.0,97.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
35,293.0,91.0,0.0,107.0,76,134,2.36,1159,15,81,1205,28,1,1.0,0.0,0.0,6.67,0.0,3.0,32003.0,77706.0,0.0,109772.0,1.0,0.2,20.0,10667.67,1.0,109760.0,5.0,4.0,0.0,100.0,1.33,0.0,2.0,40.0,1159.0,0.95,0.34,440.0,2330.0,0.0,2383.0,53.0,53.0,2383.0,53.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0
36,332.0,91.0,0.0,111.0,381,372,3.08,1359,21,48,1805,19,1,1.0,0.0,0.0,9.67,0.0,2.33,109711.0,0.0,0.0,109804.0,1.0,0.2,20.0,36570.33,1.0,109788.0,2.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,1359.0,0.99,0.36,424.0,2394.0,0.0,2473.0,79.0,79.0,2473.0,79.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
37,323.0,85.0,0.0,109.0,561,296,3.64,1547,18,57,1347,20,1,1.0,0.0,0.0,10.33,0.0,2.67,109710.0,0.0,0.0,109813.0,1.0,0.2,20.0,36570.0,1.0,109798.0,2.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,1547.0,0.96,0.36,344.0,2953.0,0.0,3048.0,95.0,95.0,3048.0,95.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
38,329.0,77.0,0.0,107.0,499,479,1.81,623,9,37,1422,23,1,1.0,0.0,0.0,6.67,0.0,2.33,109688.0,0.0,0.0,109794.0,1.0,0.2,20.0,109688.0,1.0,109779.0,3.0,0.0,0.0,100.0,2.0,0.0,2.0,40.0,623.0,0.97,0.4,528.0,1891.0,0.0,1985.0,94.0,94.0,1985.0,94.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
39,299.0,89.0,0.0,108.0,513,498,1.52,973,1,35,1415,23,1,1.0,0.0,0.0,10.67,0.0,3.33,109705.0,0.0,0.0,109811.0,1.0,0.2,20.0,36568.33,1.0,109795.0,2.0,4.0,0.0,100.0,1.33,0.0,2.0,40.0,973.0,0.97,0.32,552.0,1799.0,0.0,1899.0,100.0,100.0,1899.0,100.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0
40,303.0,78.0,0.0,106.0,857,616,2.09,777,3,26,1396,18,1,1.0,0.0,0.0,8.0,0.0,3.0,109696.0,0.0,0.0,109783.0,1.0,0.2,20.0,36565.33,1.0,109766.0,6.0,3.0,0.0,100.0,1.33,0.0,2.0,40.0,777.0,0.94,0.31,664.0,1495.0,0.0,1579.0,84.0,84.0,1579.0,84.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0
41,293.0,82.0,0.0,110.0,744,738,2.74,843,9,54,1107,14,1,1.0,0.0,0.0,9.33,0.0,3.67,109690.0,0.0,0.0,109803.0,1.0,0.2,20.0,36563.33,1.0,109781.0,5.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,843.0,0.99,0.32,792.0,1222.0,0.0,1323.0,101.0,100.0,1323.0,101.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0
42,363.0,105.0,0.0,115.0,483,410,1.6,616,12,37,1522,26,1,1.0,0.0,0.0,8.0,0.0,2.33,109685.0,0.0,0.0,109782.0,1.0,0.2,20.0,36561.67,1.0,109762.0,4.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,616.0,1.05,0.31,464.0,2174.0,0.0,2259.0,85.0,85.0,2259.0,85.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
43,329.0,94.0,0.0,113.0,561,224,2.15,623,6,45,1330,25,1,1.0,0.0,0.0,10.0,0.0,2.67,109669.0,0.0,0.0,109784.0,1.0,0.2,20.0,36556.33,1.0,109761.0,1.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,623.0,0.96,0.37,272.0,3753.0,0.0,3855.0,102.0,102.0,3855.0,102.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,335.0,110.0,0.0,118.0,157,487,1.77,729,8,34,1253,22,1,1.0,0.0,0.0,10.0,0.0,2.67,96955.0,12744.0,0.0,109786.0,1.0,0.2,20.0,32318.33,1.0,109765.0,4.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,729.0,1.06,0.37,536.0,1877.0,0.0,1956.0,79.0,78.0,1956.0,79.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0,2.0,0.0,0.0,0.0,8.0,17.0,1.0
45,300.0,87.0,0.0,112.0,380,468,3.07,607,15,28,1872,28,1,1.0,0.0,0.0,6.33,0.0,2.67,109705.0,0.0,0.0,109787.0,1.0,0.2,20.0,36568.33,1.0,109770.0,5.0,1.0,0.0,100.0,1.33,0.0,2.0,40.0,607.0,0.92,0.38,520.0,1941.0,0.0,2016.0,75.0,73.0,2016.0,75.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,3.0,1.0,0.0,0.0,0.0,6.0,18.0,2.0
46,323.0,83.0,0.0,106.0,968,319,2.42,514,11,53,1606,21,1,1.0,0.0,0.0,11.67,0.0,2.33,109707.0,0.0,0.0,109803.0,1.0,0.2,20.0,109707.0,1.0,109785.0,3.0,1.0,0.0,100.0,2.0,0.0,2.0,40.0,514.0,0.93,0.41,368.0,2766.0,0.0,2849.0,83.0,83.0,2849.0,83.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
