task_id,read,update,scan,insert,redis_redis_tcp_keepalive,redis_repl_diskless_sync_delay,redis_maxmemory,redis_maxmemory_policy,redis_maxmemory_samples,redis_maxclients,redis_tcp_backlog,redis_list_max_ziplist_size,redis_hash_max_ziplist_entries,redis_hash_max_ziplist_value,redis_list_compress_depth,redis_set_max_intset_entries,redis_zset_max_ziplist_entries,redis_zset_max_ziplist_value,redis_hll_sparse_max_bytes,redis_hz,redis_active_defrag_ignore_bytes,redis_lua_time_limit,redis_resource,redis_replicas,redis_active_defrag_running,redis_allocator_frag_bytes,redis_allocator_frag_ratio,redis_allocator_rss_ratio,redis_aof_base_size_bytes,redis_aof_buffer_length,redis_aof_current_rewrite_duration_sec,redis_aof_delayed_fsync,redis_aof_enabled,redis_aof_last_bgrewrite_status,redis_aof_last_cow_size_bytes,redis_aof_last_rewrite_duration_sec,redis_aof_last_write_status,redis_aof_pending_bio_fsync,redis_aof_pending_rewrite,redis_aof_rewrite_in_progress,redis_aof_rewrite_scheduled,redis_blocked_clients,redis_client_recent_max_input_buffer_bytes,redis_client_recent_max_output_buffer_bytes,redis_clients_in_timeout_table,redis_cluster_connections,redis_cluster_enabled,redis_config_io_threads,redis_config_maxclients,redis_connected_clients,redis_connected_slaves,redis_connections_received_total,redis_cpu_sys_children_seconds_total,redis_cpu_sys_main_thread_seconds_total,redis_cpu_sys_seconds_total,redis_cpu_user_children_seconds_total,redis_cpu_user_main_thread_seconds_total,redis_cpu_user_seconds_total,redis_defrag_hits,redis_defrag_key_hits,redis_defrag_key_misses,redis_defrag_misses,redis_dump_payload_sanitizations,redis_evicted_keys_total,redis_expired_keys_total,redis_expired_stale_percentage,redis_expired_time_cap_reached_total,redis_exporter_last_scrape_connect_time_seconds,redis_exporter_last_scrape_duration_seconds,redis_exporter_last_scrape_error,redis_exporter_scrape_duration_seconds_sum,redis_exporter_scrape_duration_seconds_count,redis_exporter_scrapes_total,redis_io_threaded_reads_processed,redis_io_threaded_writes_processed,redis_io_threads_active,redis_keyspace_hits_total,redis_keyspace_misses_total,redis_last_key_groups_scrape_duration_milliseconds,redis_last_slow_execution_duration_seconds,redis_latest_fork_seconds,redis_lazyfree_pending_objects,redis_loading_dump_file,redis_master_repl_offset,redis_mem_clients_normal,redis_mem_clients_slaves,redis_mem_fragmentation_ratio,redis_mem_not_counted_for_eviction_bytes,redis_memory_used_lua_bytes,redis_memory_used_overhead_bytes,redis_memory_used_scripts_bytes,redis_memory_used_startup_bytes,redis_migrate_cached_sockets_total,redis_module_fork_in_progress,redis_module_fork_last_cow_size,redis_number_of_cached_scripts,redis_process_id,redis_pubsub_channels,redis_pubsub_patterns,redis_rdb_bgsave_in_progress,redis_rdb_changes_since_last_save,redis_rdb_current_bgsave_duration_sec,redis_rdb_last_bgsave_duration_sec,redis_rdb_last_bgsave_status,redis_rejected_connections_total,redis_repl_backlog_first_byte_offset,redis_repl_backlog_history_bytes,redis_repl_backlog_is_active,redis_replica_partial_resync_accepted,redis_replica_partial_resync_denied,redis_replica_resyncs_full,redis_second_repl_offset,redis_slave_expires_tracked_keys,redis_slowlog_last_id,redis_slowlog_length,redis_target_scrape_request_errors_total,redis_total_error_replies,redis_total_reads_processed,redis_total_writes_processed,redis_tracking_clients,redis_tracking_total_items,redis_tracking_total_keys,redis_tracking_total_prefixes,redis_unexpected_error_replies,redis_up,redis_uptime_in_seconds
11,96.0,65.0,78207.0,160.0,386,1,3604,noeviction,15,31426,3705,1,1008,1020,3,987,773,548,1301,33,64,9828,24,1,0.0,410896.0,1.0,1.05,1.29,0.0,-1.0,0.0,1.0,1.0,7.38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6826.67,0.0,0.0,0.0,0.0,1.0,31426.0,1.0,0.0,4.0,0.27,2.87,2.92,1.0,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.57,15184.0,15184.0,0.0,0.0,0.0,47432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12544.0,0.0,1.06,2560.0,31744.0,7.48,184.0,2.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,952165.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,266995.0,266991.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0
12,95.0,71.0,79103.0,154.0,391,1,3395,noeviction,15,30638,3417,1,962,1023,3,1018,755,464,1267,30,72,9503,23,1,0.0,421349.33,1.0,1.04,1.28,0.0,-1.0,0.0,1.0,1.0,7.39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30638.0,1.0,0.0,8.33,0.17,2.85,2.93,1.21,2.3,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.68,15191.33,15191.33,0.0,0.0,0.0,49088.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.06,2560.0,31744.0,7.47,184.0,2.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,513838.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,268653.67,268645.33,0.0,0.0,0.0,0.0,0.0,1.0,104.0
13,100.0,72.0,81279.0,162.0,376,7,6045,volatile-lfu,14,27983,9811,1,1012,851,3,261,764,585,1486,36,55,9487,22,1,0.0,411061.33,1.0,1.04,1.27,0.0,-1.0,0.0,1.0,1.0,7.37,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6826.67,0.0,0.0,0.0,0.0,1.0,27983.0,1.0,0.0,8.33,0.22,3.27,3.33,1.37,2.13,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.71,15199.33,15199.33,0.0,0.0,0.0,53220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,2560.0,31744.0,7.3,184.0,1.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,308987.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,272783.67,272775.33,0.0,0.0,0.0,0.0,0.0,1.0,101.0
14,93.0,70.0,76543.0,160.0,422,4,2764,volatile-random,19,34668,2870,1,853,877,3,891,777,551,4639,65,146,3621,22,1,0.0,412864.0,1.0,1.04,1.29,0.0,-1.0,0.0,1.0,1.0,7.43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,1.0,34668.0,1.0,0.0,7.0,0.15,3.09,3.13,1.14,2.45,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.86,15208.0,15208.0,0.0,0.0,0.0,45290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37632.0,0.0,1.05,2560.0,31744.0,7.9,184.0,2.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,-1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,264833.0,264826.0,0.0,0.0,0.0,0.0,0.0,1.0,130.33
15,119.0,84.0,82879.0,189.0,343,2,4832,noeviction,11,78961,2210,2,1024,892,1,708,571,412,6500,23,314,8015,29,1,0.0,403002.67,1.0,1.03,1.29,0.0,-1.0,0.0,1.0,1.0,7.33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78961.0,1.0,0.0,4.0,0.17,3.16,3.2,1.18,2.11,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.87,15211.0,15211.0,0.0,0.0,0.0,46598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,8.0,31744.0,1.01,184.0,4.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,555237.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,266108.0,266104.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0
16,95.0,70.0,74559.0,158.0,466,6,1991,noeviction,17,11466,5208,1,832,944,3,952,853,671,2597,39,114,7982,18,1,0.0,391458.67,1.0,1.05,1.29,0.0,-1.0,0.0,1.0,1.0,8.49,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11466.0,1.0,0.0,9.0,0.12,3.03,3.08,0.9,2.17,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.92,15222.0,15222.0,0.0,0.0,0.0,41959.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.06,2560.0,31744.0,6.42,184.0,976808.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,261527.0,261518.0,0.0,0.0,0.0,0.0,0.0,1.0,116.0
17,98.0,75.0,74943.0,159.0,438,7,6379,volatile-lru,12,42224,5361,2,658,789,1,809,644,418,1039,67,312,3978,18,1,0.0,396733.33,1.0,1.05,1.27,0.0,-1.0,0.0,1.0,1.0,7.41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42224.0,1.0,0.0,7.0,0.18,3.31,3.36,1.38,2.06,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.96,15233.0,15233.0,0.0,0.0,0.0,50990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,8.25,184.0,2.81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,248778.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,270505.0,270498.0,0.0,0.0,0.0,0.0,0.0,1.0,85.33
18,116.0,71.0,78655.0,162.0,334,5,3900,volatile-lru,9,18143,1783,3,927,947,3,935,414,651,3019,22,500,6719,26,1,0.0,430333.33,1.0,1.04,1.27,0.0,-1.0,0.0,1.0,1.0,7.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18143.0,1.0,0.0,11.33,0.11,3.06,3.1,0.97,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,170.02,15245.33,15245.33,0.0,0.0,0.0,53574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,2560.0,31744.0,6.81,184.0,1.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.06,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,273106.67,273095.33,0.0,0.0,0.0,0.0,0.0,1.0,101.0
19,97.0,68.0,76671.0,158.0,383,1,7602,allkeys-lru,7,98175,4368,4,828,782,2,738,890,286,1981,61,157,9992,12,1,0.0,382650.67,1.0,1.03,1.3,0.0,-1.0,0.0,1.0,1.0,7.36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98175.0,1.0,0.0,5.0,0.18,3.24,3.29,1.34,2.06,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,170.05,15252.0,15252.0,0.0,0.0,0.0,50736.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,1.1,184.0,5.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,353198.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,270197.0,270192.0,0.0,0.0,0.0,0.0,0.0,1.0,103.0
20,108.0,78.0,81215.0,167.0,423,3,1923,allkeys-lfu,17,22832,1989,1,263,956,3,941,676,482,6576,44,293,3085,19,1,0.0,380160.0,1.0,1.05,1.29,0.0,-1.0,0.0,1.0,1.0,9.19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22832.0,1.0,0.0,6.0,0.17,3.22,3.27,1.36,2.33,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,170.1,15263.0,15263.0,0.0,0.0,0.0,52019.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.06,2560.0,31744.0,7.07,184.0,1.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,298873.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,271555.0,271549.0,0.0,0.0,0.0,0.0,0.0,1.0,87.67
21,115.0,84.0,85311.0,181.0,343,8,2013,volatile-lfu,13,46370,5963,3,668,852,2,577,1017,758,3960,34,114,1021,25,1,0.0,370877.33,1.0,1.05,1.26,0.0,-1.0,0.0,1.0,1.0,7.46,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46370.0,1.0,0.0,11.0,0.12,3.27,3.31,0.97,2.32,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,170.15,15277.0,15277.0,0.0,0.0,0.0,60521.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,8.38,184.0,2.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.06,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,280033.0,280022.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0
